index,type,metre,text
130,test,J,"""výskají mladí rozohněni,"""
131,test,J,"""že milujícím smutno není."""
132,test,J,"""Noc červencová nespí více,"""
133,test,J,"""už dosnila svůj letní sen,"""
134,test,J,"""v nějž upadla, když večernice"""
135,test,J,"""běh za horou byl ukončen."""
136,test,J,"""Bělá se nebe na východě,"""
137,test,J,"""kruh bílý roste v šíř a v dál."""
138,test,J,"""Běl žloutne ve svém středním bodě"""
139,test,J,"""a okraj modrá na opál."""
140,test,J,"""Žluť nebe rudne, hoří v středu,"""
141,test,J,"""požár se vzmáhá dokola,"""
142,test,J,"""vše oslepujíc při pohledu"""
143,test,J,"""vyrazí slunce, vzplápolá."""
144,test,J,"""Paprsky švihnou do rumiští,"""
145,test,J,"""kde zmije plod svůj ukryly,"""
146,test,J,"""a tisícerou zlatou tříští"""
147,test,J,"""se rozeskáčou v obilí."""
148,test,J,"""A tančí po stromech a křovím,"""
149,test,J,"""se vpředou snících do kuklí,"""
150,test,J,"""tam života hnou proudem novým,"""
151,test,J,"""by závoje se rozpukly."""
152,test,J,"""A kde jen po životě stopy"""
153,test,J,"""a kde se červík vylíhá,"""
154,test,J,"""kde zárodek – tam slunce topí,"""
155,test,J,"""že teplem život obíhá."""
156,test,J,"""Vše k předu žene bez únavy,"""
157,test,J,"""atómy mrská v výparu,"""
158,test,J,"""slučuje, bourá, nově staví –"""
159,test,J,"""a k poledni vše ve varu."""
160,test,J,"""Jak selka pilná oběd strojí"""
161,test,J,"""sekáčům žnoucím chvátavě,"""
162,test,J,"""tak slunce ohně svého znoji"""
163,test,J,"""hod chystá – Smrti k potravě."""
164,test,J,"""Sněženka vzbudila se časně ráno,"""
165,test,J,"""malounko sněhu na pažitě stláno."""
166,test,J,"""Zelené borovice stojí v kruhu,"""
167,test,J,"""šedé se mlhy kradou v luhu,"""
168,test,J,"""křů chytají se, naň se víží."""
169,test,J,"""Tu černý havran slétnuv s borovice,"""
170,test,J,"""bez krákorání všeho, bez povyku,"""
171,test,J,"""krok za krokem se v měkkém sněhu blíží."""
172,test,J,"""A stanul před sněženkou. –"""
173,test,J,"""V pokojíku,"""
174,test,J,"""kde časně z rána všichni leží spíce,"""
175,test,J,"""si představ dítko malé, košiláče,"""
176,test,J,"""jak stojí probuzené na postýlce"""
177,test,J,"""a mnouc si z víček sen, ty druhé spáče"""
178,test,J,"""a matku nevidí. V té ranní chvilce"""
179,test,J,"""kdyby tak vstoupil stařec přihrbělý,"""
180,test,J,"""ve plášti černém zahalen jsa celý,"""
181,test,J,"""a od dveří se plíže v polosvitě"""
182,test,J,"""své oko, živoucím jež nevraží,"""
183,test,J,"""upíral na to vyjevené dítě,"""
184,test,J,"""rakvičku černou nesa pod paží – –"""
185,test,J,"""Do chrámu vstoupím v starobylém městě."""
186,test,J,"""– Kdos na varhany právě hrál,"""
187,test,J,"""se cviče v písni o soudu a trestě –"""
188,test,J,"""tam tiše pod kůrem jsem stál"""
189,test,J,"""a četl s náhrobního kamena:"""
190,test,J,"""„Leta božieho“ – avšak bez jmena."""
191,test,J,"""Tu tedy pod kůr zazděn na staletí"""
192,test,J,"""kýs dobrý staročeský pán!"""
193,test,J,"""Však, rozvážíš-li blíže, jasno je ti,"""
194,test,J,"""že lhostejno, zda do zdi dán,"""
195,test,J,"""by na věky stál tiše v samotě."""
196,test,J,"""Jsa člověkem, byl zazděn v životě."""
197,test,J,"""Než z lůna matky vykročíš, už bolů"""
198,test,J,"""tvých míra vyměřena jest,"""
199,test,J,"""jda životem a dále k hrobu dolů"""
200,test,J,"""vždy cítíš, že tě drží pěsť,"""
201,test,J,"""že štván jsi do radosti, do trudu."""
202,test,J,"""Jsi, brachu, zazděn do svých osudů."""
203,test,J,"""Ó, moře dávných věků, tvoje vlny"""
204,test,J,"""nás vrhly do zátoky sem."""
205,test,J,"""A kolem hory, skály! Potu plny"""
206,test,J,"""už doly jsou a krve plná zem."""
207,test,J,"""Jsme v Čechách do osudu zazděni."""
208,test,J,"""To pochopit – je české umění."""
209,test,J,"""„Kraj světa obešel jsem, všecky typy"""
210,test,J,"""plemene lidského jsem poznal, pletě"""
211,test,J,"""všech pásem: nejlibější v celém světě –"""
212,test,J,"""od břehů širých otce Missisipi"""
213,test,J,"""až k Indu, rumem bohatému v letě –"""
214,test,J,"""jsem v Bankoku zřel lidské poupě"""
215,test,J,"""na dvoře krále Siamského skvělém."""
216,test,J,"""Ač příroda tam krásy dává skoupě,"""
217,test,J,"""ten hošek malý pleti světlohnědé"""
218,test,J,"""a nekonečně důvěřivých očí"""
219,test,J,"""v půvabu objevil se děcka celém;"""
220,test,J,"""v hedbáví oděn, rodu vznešeného,"""
221,test,J,"""as čtyřletý byl; cizince mne, bledé"""
222,test,J,"""evropské pleti v uniformy zdobě"""
223,test,J,"""– jsem vzrůstu nad Malajce mohutného –"""
224,test,J,"""nespouštěl s očí. Vyprosil jsem sobě,"""
225,test,J,"""bych dar mu směl dát na památku."""
226,test,J,"""Vojáka z plechu, praporem jak točí,"""
227,test,J,"""– pod hrotem skvěl se ze skla drahý kámen –"""
228,test,J,"""podal jsem chlapečku. On v ručky obě"""
229,test,J,"""vzav hračku, v štěstí svého zmatku"""
230,test,J,"""se zarděl jako růže plná; zmámen"""
231,test,J,"""si z hloubi vzdechl – přeblažené robě.“"""
232,test,J,"""Tak cestovatel vypravoval kdysi."""
233,test,J,"""Bordone Paris, malíř krásných paní,"""
234,test,J,"""jenž vystudoval ženských tváří rysy,"""
235,test,J,"""ten studu nach ne v tváři jenom viděl,"""
236,test,J,"""on znal ty pleti bílé, v jejichž tkani"""
237,test,J,"""je přecitlivé cévstvo (lékař děl by),"""
238,test,J,"""jichž úběl vzplane studem karmínovým,"""
239,test,J,"""jakmile ňadra obnaží, neb šíji."""
240,test,J,"""I kmenovec náš, jejž Schiavone zovou,"""
241,test,J,"""tak ňadra žen ve mnohé scenerii"""
242,test,J,"""maloval, květ jakoby jabloňový"""
243,test,J,"""byl mezi prsy spad’."""
244,test,J,"""Bordone v jedné"""
245,test,J,"""má scéně – jejíž půvab nevybledne –"""
246,test,J,"""sedící ženu. A k ní muž se tulí."""
247,test,J,"""Jest bělostná, muž vášnivý je snědý,"""
248,test,J,"""a levou rukou ke kyčli jak jel by;"""
249,test,J,"""než ona, spité majíc touhou hledy,"""
250,test,J,"""jej zdržuje. Však, by se neminuli"""
251,test,J,"""těch cílů svých, nepouští jeho ruku!"""
252,test,J,"""Nad nimi Amor bez šípu a luku"""
253,test,J,"""– nač potřeba tu ještě jaké střelby? –"""
254,test,J,"""zelený drží nad hlavami věnec."""
255,test,J,"""A ženě ne jen v tváři kvetou růže,"""
256,test,J,"""vytryskl purpur, krasší nad ruměnec,"""
257,test,J,"""z bílého voňavého prsou lůže"""
258,test,J,"""a namalován nach i nad koleno."""
259,test,J,"""Vždyť v ruce hračku má – silného muže."""
260,test,J,"""Ó zmámená ty, přeblažená ženo!"""
261,test,J,"""Do síně vrazil celý uřícený"""
262,test,J,"""a s pláčem hořkým běžel do kuchyně,"""
263,test,J,"""kde stará chůva cosi spravovala;"""
264,test,J,"""jí leknutím se šití octlo v klíně."""
265,test,J,"""Byl pětiletý asi, žluté vlásky"""
266,test,J,"""měl rozcuchány, lpěly v obličeji."""
267,test,J,"""„Mně tolik natloukli!“ lkal chuďas malý."""
268,test,J,"""„Pojď, pojď, holečku!“ byla slova její."""
269,test,J,"""A utřela mu slzy, pot a špínu,"""
270,test,J,"""on přitulil se, usedavě dýše"""
271,test,J,"""a brzo usnul. – Smrt tak někdy volá:"""
272,test,J,"""„Pojď, pojď, holečku!“ – Člověk umře tiše."""
273,test,J,"""A konec bojům, jež nás proháněly,"""
274,test,J,"""ni vlna nešplouchne už v mrtvých moři;"""
275,test,J,"""a konec bolům srdce svírajícím,"""
276,test,J,"""ni bublina se z hloubi nevynoří."""
277,test,J,"""„Klekání odzvonili, půjdem’ také spat.“"""
278,test,J,"""Tak řekla bába. Seděli si před chalupou."""
279,test,J,"""Tři sirotci. Kluk malý, mlčev posavad,"""
280,test,J,"""se táže: „Babičko, na věži zvony, snad"""
281,test,J,"""ty nejdou spat?“ a hledí před se s tváří tupou."""
282,test,J,"""„Ba také jdou, vždyť zvony srdce mají,"""
283,test,J,"""co radost je, co žalost, zvony dobře znají;“"""
284,test,J,"""a vzpomněla na dceřin pohřeb před rokem."""
285,test,J,"""Děvčátko, jež babička zvala prorokem,"""
286,test,J,"""se ozvalo: „Já zvonka znám, jenž jistě spí,"""
287,test,J,"""to zvonek pták.“ – „Máš dobře, holka,“ bába dí,"""
288,test,J,"""„mlaďátkům očka zatáhnou se blanou,"""
289,test,J,"""natáhnou nožičky a lehnou stranou.“ –"""
290,test,J,"""Hoch zase: „Kdo jim očka zatahuje?"""
291,test,J,"""Tatínek?“ – Bába na to: „Dobrý Pán Bůh sám.“"""
292,test,J,"""Na klínu báby bucle – Véna sluje –"""
293,test,J,"""prstíkem tlustým ihned ukazoval tam,"""
294,test,J,"""kde měsíc v ouplňku nad borem stál,"""
295,test,J,"""a ,Pámbu‘ žvatnuv, Véna oblažen se zdál."""
296,test,J,"""Lesk luny lil se jako stříbra proudy,"""
297,test,J,"""osvítil střechy, stromy, potok, hroudy"""
298,test,J,"""a všecky hvězdičky se vyrojily"""
299,test,J,"""a mléčné dráhy pjal se oblouk bílý."""
300,test,J,"""Hleděli vzhůru: „Maminka tam chodí"""
301,test,J,"""a dívá se, kdo k dobrému se hodí.“"""
302,test,J,"""Šli spat. A hodně pozdě otec rodiny,"""
303,test,J,"""když spali všichni, přišel také domů."""
304,test,J,"""Dovedným dělníkem byl v tvrdém lomu,"""
305,test,J,"""kde granit lámali na blízku dědiny."""
306,test,J,"""Uleh’ a ve snu viděl spousty lidu"""
307,test,J,"""a lidu soud a bouř a krev a plameny"""
308,test,J,"""a kterak on, když koule kolem zafičí,"""
309,test,J,"""se svými druhy stojí v mužném klidu."""
310,test,J,"""Pak pochod. On s pozdviženými rameny"""
311,test,J,"""jakéhos pána hlavu nese na tyči."""
312,test,T,"""„Pojedu ti ráno zasit žito,“"""
313,test,T,"""povídá děd večer vnuku."""
314,test,T,"""„Nech ho!“ praví bába, „dělal by mi"""
315,test,T,"""celičký den plno hluku.“"""
316,test,T,"""„Selo se to!“ usmívá se děda,"""
317,test,T,"""„jenom v zimě hodně sněhu!“"""
318,test,T,"""A když první vánice sem přišly,"""
319,test,T,"""byl už věčném na noclehu."""
320,test,T,"""Dlouho ležel sníh a na hřbitově"""
321,test,T,"""ani hrobů vidět není."""
322,test,T,"""Když zas vylezly, jde bába honem"""
323,test,T,"""podívat se na osení."""
324,test,T,"""„Naděl Pán Bůh! Škoda, že tu není."""
325,test,T,"""Co tu ještě horších mizer zbylo!"""
326,test,T,"""Musíme mu dáti na otčenáš,"""
327,test,T,"""že se mu tak urodilo!“"""
328,test,J,"""Ve vozík jedna kravka zapřažena"""
329,test,J,"""a naloženo trochu jetele,"""
330,test,J,"""pro kozu listí, v zadu hrstka sena,"""
331,test,J,"""je k večeru a zítra neděle."""
332,test,J,"""A vedle kráčí, snědé majíc líce"""
333,test,J,"""a prsa bujná, plece k objetí,"""
334,test,J,"""s bičíkem Pepka kyrysnice,"""
335,test,J,"""jak topol štíhlá, let as dvaceti."""
336,test,J,"""Vždy veselá je jako polní kvítí."""
337,test,J,"""A dobrák. Do práce je jako kat."""
338,test,J,"""A říká: „Na lásku ať slunce svítí"""
339,test,J,"""a oko nemá brečky zamokat.“"""
340,test,J,"""Kravička zastavuje, founí trochu,"""
341,test,J,"""a Pepka trhla rychle opratí."""
342,test,J,"""„Už zas se, plosko, pouštíš do vrtochů?"""
343,test,J,"""Dej pozor, sic tě bičík vyplatí!“"""
344,test,J,"""Och, Pepko, Pepko, nedělej zlé oči,"""
345,test,J,"""v tvé vlastní hlavě plno myšlenek;"""
346,test,J,"""ten zítřek se v tvém mozku jaksi točí,"""
347,test,J,"""co sobě myslíš, šlehá na venek."""
348,test,J,"""Ta nová sukně, samé modré květy,"""
349,test,J,"""kol černých vlasů šátek zlatistý,"""
350,test,J,"""zástěra červená jak koukol setý,"""
351,test,J,"""v modlicích knížkách jetel čtyrlistý!"""
352,test,J,"""Až rozsednou se před mší o kázání"""
353,test,J,"""vesnické holky kolem kostela,"""
354,test,J,"""hledíce v závistivém zevlování"""
355,test,J,"""po šatech, nemodlí se docela:"""
356,test,J,"""tu obšírně si také na hrob sedneš"""
357,test,J,"""ku dívkám ostatním, tak pátravým,"""
358,test,J,"""a sukni rozložíc se poohledneš,"""
359,test,J,"""jakoby nic, svým okem kolčavím."""
360,test,J,"""Že, Pepko, to tvé nejsou špekulace?"""
361,test,J,"""Máš ještě horší! Není pomoci!"""
362,test,J,"""Jak řekneš Václavovi věc tu krátce,"""
363,test,J,"""až s tebou domů půjde k půlnoci?"""
364,test,J,"""Ty obejmeš ho, že nepustí dechu,"""
365,test,J,"""a po žhavé jak uhlí hubičce,"""
366,test,J,"""co jest, mu řekneš. Dáš mu herdu v spěchu"""
367,test,J,"""a v dvířkách zmizíš jak stín kratičce."""
368,test,J,"""Omráčen Václav bude v nočním tichu"""
369,test,J,"""se škrábat za uchem a po skráni,"""
370,test,J,"""a Pepka svléká se už v tichém smíchu,"""
371,test,J,"""že jemu nebude dnes do spaní."""
372,test,J,"""Byl z Bernardýnů, ne však čisté krve"""
373,test,J,"""a přišel na svět v parku široširém"""
374,test,J,"""a skončil tamtéž. Nemotorný prve,"""
375,test,J,"""vyrostl statně; pak plul žití vírem."""
376,test,J,"""Byl strážce věrný. Mezi námi žije"""
377,test,J,"""vyčichal, rodinná co monarchie."""
378,test,J,"""Přede mnou sedal, jako sfinga v poušti,"""
379,test,J,"""jak stráž, jež pána nikdy neopouští."""
380,test,J,"""Když na trh směl si vyjít s mojí paní –"""
381,test,J,"""jak v punčochách by komorník šel za ní."""
382,test,J,"""Na světě nejmilejší jemu děti,"""
383,test,J,"""jej tahaly a válely jím v smetí;"""
384,test,J,"""jim velbloudem byl, mostem, hasičem,"""
385,test,J,"""jak chtěly. Nezaúpěl pod bičem."""
386,test,J,"""My odpustili, když jak divý běhal,"""
387,test,J,"""i to, že rád si do resedek lehal."""
388,test,J,"""Byl náš. Pak hostec vjel mu do všech oudů."""
389,test,J,"""Tu v zimě do domu jsme dali boudu."""
390,test,J,"""Už smrt mu chraptívala do štěku."""
391,test,J,"""A konec konců – skonal jednou v podzimí"""
392,test,J,"""a zahrabán do zeleného mlází. –"""
393,test,J,"""Byl v mnohých věcech vzorem – člověku."""
394,test,J,"""Co z nás by teprv mohlo být? Nám schází"""
395,test,J,"""rozhodně styk s bytostmi vyššími."""
396,test,J,"""Už končila se slavnost vzkříšení;"""
397,test,J,"""dal požehnání při Pax Domini,"""
398,test,J,"""a kněží v dlouhý průvod sřaděni"""
399,test,J,"""šli od oltáře. On sám jediný"""
400,test,J,"""šel v zadu s mitrou, berlou jako král,"""
401,test,J,"""na srdci ruku, starý kardinál."""
402,test,J,"""Zvuk varhan plným proudem jásotu"""
403,test,J,"""lil halleluja do prostoru,"""
404,test,J,"""jak moře do svých řine chobotů,"""
405,test,J,"""a skončil. Hudci sešli s choru."""
406,test,J,"""Lid vyvaliv se patřil potěšen,"""
407,test,J,"""jak krásným večerem ten končí den."""
408,test,J,"""A rozhoupaný silou na věži"""
409,test,J,"""zvon ohromný své hřímal hluky,"""
410,test,J,"""že sotva drželi jej v otěži"""
411,test,J,"""a zvoníkům se vytrhoval z ruky."""
412,test,J,"""A hřímal: Halleluja! Vstanul Pán!"""
413,test,J,"""Zas jaro jest! Všem budiž pokoj dán!"""
414,test,J,"""Věž třásla se až v samých základech."""
415,test,J,"""Však mrtví spali; někde ssuly se"""
416,test,J,"""snad prášky popelu; jak kouzla dech"""
417,test,J,"""kov erbu chvěl se, jméno v nápise."""
418,test,J,"""Jen jeden v katakombě nesetlel,"""
419,test,J,"""ne živ, ne mrtev – chrámu stavitel."""
420,test,J,"""On vyhnal k nebi stavbu před časy,"""
421,test,J,"""na věžích třpytly křížů hroty;"""
422,test,J,"""však dole bouřily už zápasy,"""
423,test,J,"""boj víry, bludu, ducha, hmoty,"""
424,test,J,"""a mistr, jenž se srdcem k nebi vznes’,"""
425,test,J,"""měl červa v mysli, v pochybnosti kles’."""
426,test,J,"""A usouzeno jemu v pokutu,"""
427,test,J,"""by po smrti a před věčností"""
428,test,J,"""a netle jako mrtví, v stavbu tu"""
429,test,J,"""byl pohřben, která věrné hostí,"""
430,test,J,"""a za sto let se jednou probudil"""
431,test,J,"""a o vzkříšení Páně svědkem byl."""
432,test,J,"""Když u oltáře biskup zapěje"""
433,test,J,"""a hlásá: „Vstalť jest této chvíle!“"""
434,test,J,"""tu těla jeho tvar se zachvěje"""
435,test,J,"""a duch a sluch zas žijou v síle;"""
436,test,J,"""tu slyší varhan hudbu, sborů zpěv"""
437,test,J,"""a cítí věže chvění, zvonu řev."""
438,test,J,"""Zas uplynulo jedno století,"""
439,test,J,"""vše slyší chodit v starém chodu."""
440,test,J,"""Přichází po zimě zas podletí,"""
441,test,J,"""mráz po jeseni zmrazí vodu,"""
442,test,J,"""pak po zemi se květy bujné strou"""
443,test,J,"""a rody lidské rodí se a mrou."""
444,test,J,"""Jen jiné tváře, zvyky, oděvy,"""
445,test,J,"""jen jiná kola starých strojů,"""
446,test,J,"""jen nových strastí staré úlevy,"""
447,test,J,"""jen nové zbraně starých bojů,"""
448,test,J,"""jen jiné koše, břemen stará tíž,"""
449,test,J,"""jen jiné řeči, avšak smysl týž."""
450,test,J,"""Těch velkých věcí dlouhé trvání –"""
451,test,J,"""zdaž hnou jím plaché pochybnosti?"""
452,test,J,"""Tak dlouhé bude jeho pokání,"""
453,test,J,"""tak dlouho budou držet kosti,"""
454,test,J,"""pokavad státi bude jeho chrám."""
455,test,J,"""Kdy nový vstane, ví Bůh sám."""
456,test,J,"""Já věřím, On že posud světem chodí"""
457,test,J,"""a tu a tam se učni svému zjeví,"""
458,test,J,"""jak v Emauzích. Pak v duších zář se rodí,"""
459,test,J,"""a odkud červánky ty, nikdo neví."""
460,test,J,"""Když víno žehnal v galilejské Káně,"""
461,test,J,"""by žízeň nermoutila vlídných hostí,"""
462,test,J,"""tu z kapek plnily se celé báně"""
463,test,J,"""a srdce přítomných všech veselostí."""
464,test,J,"""On, starý Lve, když přišel k Tobě,"""
465,test,J,"""jsi začal kázat, zpívat hlasem ranním,"""
466,test,J,"""svět poslouchal i v nevěřících době"""
467,test,J,"""a duchů zástupy jdou tiše za ním."""
468,test,J,"""Váš, hrabě Bukvo z Longuevalu,"""
469,test,J,"""když jedete kol Rožmberku,"""
470,test,J,"""se komoň v pyšném houpá cvalu"""
471,test,J,"""a podkovy mu zvoní v štěrku."""
472,test,J,"""Kol luka jsou jak pláčem vlahá,"""
473,test,J,"""vzdech táhne smrkovými lesy;"""
474,test,J,"""jak stařec, jenž si k srdci sahá,"""
475,test,J,"""dub leckde starý oddechne si."""
476,test,J,"""Francouzská krvi! Když se rvete"""
477,test,J,"""pro naši čest a slávu synů,"""
478,test,J,"""tu duby vaše dvoustoleté"""
479,test,J,"""hned pyšně hledí na mýtinu."""
480,test,J,"""A jako správce stříbrovlasý"""
481,test,J,"""a prostomilá jeho žena"""
482,test,J,"""vás vítají a blaho hlásí –"""
483,test,J,"""hrad starý i věž obemšená."""
484,test,J,"""Kol ve smrčinách kormutlivý"""
485,test,J,"""sbor sosen odtuší si v žalu"""
486,test,J,"""a hle! od Rožmberka sivý"""
487,test,J,"""obláček letí k Longuevalu."""
488,test,T,"""Předveden cár Lazar před sultána Bajazita."""
489,test,T,"""Na márách tu ležel Murat i družina sbitá."""
490,test,T,"""„Ty jsi protivil se otci mému Muratovi,"""
491,test,T,"""bratry dva mi zabil’s; tři jsou otevřeny rovy!“"""
492,test,T,"""„Žel, že čtvrtý neleží tu; já tě v bitvě hledal,"""
493,test,T,"""ale Bůh tě pro mé hříchy meči mému nedal.“"""
494,test,T,"""Kynul katu Bajazit, ať cára odepraví."""
495,test,T,"""Teplický tu vojevoda Krajmír prose praví:"""
496,test,T,"""„Aby cárská hlava po zemi se neválela,"""
497,test,T,"""dovol, ať ji chytím ve kraj pláště s svého těla.“"""
498,test,T,"""Klekl Lazar, vedle Krajmír pláštík podestírá;"""
499,test,T,"""šepce cáru v ucho slova, slova bohatýra:"""
500,test,T,"""„Přísahal jsem Bohu, že má hlava s tvojí bude!“"""
501,test,T,"""Sekl kat, dvě hlavy padly v proudu krve rudé."""
502,test,J,"""Odešel z jara. Rakev černou"""
503,test,J,"""mu ozdobili bezů květy,"""
504,test,J,"""se slzou pohřbili ji věrnou."""
505,test,J,"""Stesk bude po něm dlouholetý."""
506,test,J,"""Bez brzy svadl. Rozpadá se"""
507,test,J,"""i rakve jeho bydlo chudé."""
508,test,J,"""Leč vzroste k divuhodné kráse"""
509,test,J,"""a věncem nevadnoucím bude"""
510,test,J,"""a zelenat se bude v sněhu"""
511,test,J,"""a z jara první mízou vzpučí"""
